filename,expected,result,confidence,reason,correct,ink_ratio,cc_count,complexity,skeleton_length,endpoints,branchpoints
0119001_04.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.04944772706166419,3,10.0,2463,257,13
01_013.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.06701583520179372,7,10.0,3453,151,33
01_017.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.07397373930862437,15,10.0,5286,557,117
01_018.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.05510632298301486,1,10.0,2629,54,28
01_019.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.04614777260638298,12,10.0,2045,358,24
01_020.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.07500813802083334,3,10.0,4359,434,18
01_021.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.0699475562283737,1,10.0,2145,55,15
01_022.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.08844109127731725,3,10.0,5107,302,42
01_023.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.07791855755974264,6,10.0,4096,348,26
01_024.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.0874835843696398,1,10.0,3367,188,18
01_025.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.2159450715859031,2,10.0,4304,292,46
01_026.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.14149798768939395,2,10.0,2510,222,30
01_027.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.06973846963148317,3,10.0,3134,197,25
01_028.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.05504728618421053,1,10.0,2257,85,13
01_029.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.09872197234156821,10,10.0,4931,436,32
01_030.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.13101652298850575,2,10.0,2671,138,16
01_031.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.15597240479604843,7,10.0,6839,613,103
01_032.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.12877418816725977,6,10.0,5416,479,503
01_033.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.16571407363420426,3,10.0,3205,540,32
01_034.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.11723317903968816,1,10.0,6742,480,14
01_035.png,SIGN,PUNCT,0.81,test_mark: br=12,False,0.09544940605928509,4,10.0,3088,392,12
01_036.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.10560154369735258,2,10.0,6028,374,72
01_037.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.11481649185409458,3,10.0,5589,457,51
01_038.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.12286499842701343,2,10.0,5973,561,31
01_039.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.13102009727191413,1,10.0,2181,304,6
01_040.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.08576267048463983,1,10.0,3796,343,41
01_041.png,SIGN,SIGN,0.93,high_complexity=10.00,True,0.097015380859375,1,10.0,2237,382,14
